gig_id,date,venue,venue_mbid,city,country,festival,event_mbid,status,notes
g180210,2018-02-10,16 Tons,7e9afe9d-e59c-49d5-a09e-d1b20eff892d,Moscow,Russia,,1de4a16e-cce9-4c62-bfa1-99e5579f50e1,,
g180303,2018-03-03,KPD,d4ea6c3c-7f5f-4aff-aa23-0a12cee35609,Saint-Petersburg,Russia,,,,
g180323,2018-03-23,Cherdak Dushi,,Nizhniy Novgorod,Russia,,,,
g180324,2018-03-24,Sol,4586359a-b816-408b-b543-7ef60cf47e20,Kazan,Russia,,,,
g180325,2018-03-25,SKLAD,,Vladimir,Russia,,,,
g180417,2018-04-17,RE:PUBLIC,dc3dc36e-f542-4d96-88de-8a14c5959214,Minsk,Belarus,,,,
g180419,2018-04-19,Hydrozagadka,573e86ae-dc2a-413a-ab87-79513ca50c4e,Warsaw,Poland,,,,
g180420,2018-04-20,,,Poznan,Poland,Spring Break Festival,,,
g180423,2018-04-23,Kantine am Berghain,df8f94bf-2773-4a13-87f0-d067c389cab3,Berlin,Germany,,,,
g180425,2018-04-25,Bastion Pregel,,Kaliningrad,Russia,,,,
g180513,2018-05-13,Aglomerat,d2d4cfd3-dd5c-4ffe-9bc4-715f0376bfb3,Moscow,Russia,,2630caaf-1564-4b3e-964b-23f925de0eeb,,
g180518,2018-05-18,Aurora Concert Hall,,Saint-Petersburg,Russia,,,,
g180525,2018-05-25,Closer,,Kiev,Ukraine,,,,
g180527,2018-05-27,Lisova Pisnya Gym,a82e8886-ec43-41ae-9dbd-ddfb14423546,Lviv,Ukraine,,ae5c5082-e8e0-4215-a2f5-af68539af912,,
g180610,2018-06-10,Kulturniy Centr ZIL,ba326f99-f3b9-42d9-a030-b7d5978588a3,Moscow,Russia,Bol' 2018,,,
g180614,2018-06-14,Komissarzhevskaya Theatre,,Saint-Petersburg,Russia,Ceremony for Sobaka.ru's Top 50 Most Famous People of St. Petersburg,,,
g180626,2018-06-26,,,Saint-Petersburg,Russia,FIFA Fan Fest 2018,,,
g180629,2018-06-29,,,Lärz,Germany,Fusion Festival,,,
g180708,2018-07-08,Cud na Wisla,,Warsaw,Poland,,,,
g180710,2018-07-10,Kantine,,Nuremberg,Germany,,,,
g180712,2018-07-12,,,Lausannne,Switzerland,Festival de la Cité,,,
g180713,2018-07-13,Ono2,,Frankfurt,Germany,,,,
g180714,2018-07-14,,,Dordrecht,Netherlands,Big Rivers Festival,,,
