gig_id,url,type,archive_service
g190811,https://iz.ru/910242/2019-08-14/kitaiskii-letchik-dzhao-da-otmetil-20-letie-masshtabnym-trekhdnevnym-festivalem,Press Release,
g190814,https://www.facebook.com/events/adidas-originals-moscow-flagship-store/originals-moscow-%D1%85-%D1%80%D0%BE%D0%B4%D0%BD%D0%BE%D0%B9-%D0%B7%D0%B2%D1%83%D0%BA-%D1%85-shortparis/1501856496619671/,Facebook Event,
g190814,https://vk.com/album-83415396_266982418,Photo Gallery,
g190818,https://www.facebook.com/livefestru,Facebook Event,
g190818,https://livefest.ru/#rec107119438,Festival Lineup,Wayback
g190818,https://scontent.fyhu1-1.fna.fbcdn.net/v/t1.0-9/61728205_845050152541581_5372975607367860224_n.jpg?_nc_cat=106&_nc_oc=AQlv6fcBjOpZLC4Ci9qOytkgsL0llug9pGCJHrjldSUDPHvkd-TTVh4xLTcadRp0AIg&_nc_ht=scontent.fyhu1-1.fna&oh=9cfd082a572a5fbb9041e396ff120a2b&oe=5D86C5D8,Flyer,
g190818,https://vk.com/livefestru,VK Event,
g190824,https://www.facebook.com/bravefactoryfestival/,Facebook Event,
g190824,https://www.brave-factory.com/,Festival Lineup,
g190825,https://www.buro247.ru/news/lifestyle/26-aug-2019-opening-gogol-school-shortparis.html,Press Release,
g190910,https://www.facebook.com/events/2297642227017339/,Facebook Event,
g190910,https://sveta.ee/event/shortparis-ru-%E2%80%A2-10-09-%E2%80%A2-sveta-baar/,Venue Event Page,Wayback
g190911,https://www.facebook.com/events/816528145414769/,Facebook Event,
g190911,http://www.melnapiektdiena.lv/events/11092019,Venue Event Page,Wayback
g190913,https://www.4kultury.pl/program,Festival Timetable,Wayback
g190914,https://www.facebook.com/events/272064553691881/,Facebook Event,
g190914,https://scontent.fyhu1-1.fna.fbcdn.net/v/t1.0-9/67147030_2434743969916444_1400169268460388352_n.jpg?_nc_cat=107&_nc_oc=AQnYi-XqbRxGfwI4eO2y_3776fvYyvttZBuHey_Yz2KPHLfxl9kkzRI7hzerI-iCfF4&_nc_ht=scontent.fyhu1-1.fna&oh=7eed6f52789a0ba9c30348c51dbc89e1&oe=5DB22278,Flyer,
